ID,Thuật toán,Tham số,Chi phí tốt nhất,Chi phí trung bình,Thời gian (s)
73,ACO,alpha=3.0, beta=2.0, min_max_aco=True, local_search=True, elitist_ants=0,986.27,997.63,1.38
74,ACO,alpha=3.0, beta=2.0, min_max_aco=True, local_search=True, elitist_ants=2,1024.88,1048.97,1.36
75,ACO,alpha=3.0, beta=2.0, min_max_aco=True, local_search=True, elitist_ants=5,982.63,990.89,1.35
76,ACO,alpha=3.0, beta=2.0, min_max_aco=True, local_search=False, elitist_ants=0,1000.90,1010.89,1.25
77,ACO,alpha=3.0, beta=2.0, min_max_aco=True, local_search=False, elitist_ants=2,1011.56,1020.73,1.17
78,ACO,alpha=3.0, beta=2.0, min_max_aco=True, local_search=False, elitist_ants=5,1047.38,1059.63,1.22
79,ACO,alpha=3.0, beta=2.0, min_max_aco=False, local_search=True, elitist_ants=0,982.63,1094.16,1.35
80,ACO,alpha=3.0, beta=2.0, min_max_aco=False, local_search=True, elitist_ants=2,986.27,1044.47,1.38
81,ACO,alpha=3.0, beta=2.0, min_max_aco=False, local_search=True, elitist_ants=5,986.27,994.81,1.37
82,ACO,alpha=3.0, beta=2.0, min_max_aco=False, local_search=False, elitist_ants=0,986.39,1064.90,1.22
83,ACO,alpha=3.0, beta=2.0, min_max_aco=False, local_search=False, elitist_ants=2,982.63,1056.96,1.27
84,ACO,alpha=3.0, beta=2.0, min_max_aco=False, local_search=False, elitist_ants=5,1016.36,1055.30,1.24
85,ACO,alpha=3.0, beta=3.0, min_max_aco=True, local_search=True, elitist_ants=0,986.27,994.18,1.32
86,ACO,alpha=3.0, beta=3.0, min_max_aco=True, local_search=True, elitist_ants=2,986.27,995.12,1.34
87,ACO,alpha=3.0, beta=3.0, min_max_aco=True, local_search=True, elitist_ants=5,982.63,991.77,1.30
88,ACO,alpha=3.0, beta=3.0, min_max_aco=True, local_search=False, elitist_ants=0,982.63,994.03,1.22
89,ACO,alpha=3.0, beta=3.0, min_max_aco=True, local_search=False, elitist_ants=2,1057.18,1084.85,1.27
90,ACO,alpha=3.0, beta=3.0, min_max_aco=True, local_search=False, elitist_ants=5,986.83,997.26,1.19
91,ACO,alpha=3.0, beta=3.0, min_max_aco=False, local_search=True, elitist_ants=0,986.27,1119.28,1.33
92,ACO,alpha=3.0, beta=3.0, min_max_aco=False, local_search=True, elitist_ants=2,982.63,1113.01,1.35
